Name,Address,Postcode,Telephone,Email,Inspections,"Opening Hours","Establishment website",Religion,Headteacher,Neighbourhood,"Eco-Schools status","More about the Eco-Schools programme",Type,"More information",Location
"Parsons Green Primary School Nursery Class","60 Meadowfield Drive","EH8 7LU","0131 661 4459",Admin@parsonsgreen.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thur 8.55am-2.50pm, Fri 8.55am-12pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.30pm",http://www.parsonsgreen.edin.sch.uk,Non-Denominational,"Willie French",East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.947549,-3.143571"
"Peek-A-Boo Nursery School","12 Parkgrove Loan","EH4 7QX","0131 339 9161",sally-anne.p@virgin.net,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.958438,-3.298434"
"Pentland Primary School Nursery Class","Oxgangs Green","EH13 9JF","0131 445 1510",Admin@pentland.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-3.05pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.pentland.edin.sch.uk,Non-Denominational,"Jacqueline Mackenzie","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.90869,-3.220314"
"Pilrig Early Years Centre","102 Pilrig Street","EH6 5AY","0131 554 3040",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Pauline Slight",North,Registered,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.966889,-3.182232"
"Pinocchio's Nursery (Gilmerton)","6 Ferniehill Road","EH17 7AB","0131 664 3276",gilmerton@pinocchiosnursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.907322,-3.133957"
"Pinocchio's Nursery (Heriot Watt University)","First Gait, Heriot Watt University, Riccarton Campus","EH14 4AS","0131 451 5236",heriot-watt@pinocchiosnursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"College/University Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.911683,-3.320649"
"Pirniehall Primary School Nursery Class","4 West Pilton Crescent","EH4 4EP","0131 332 5256",Admin@pirniehall.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, P1-2 Mon-Thur 8.50am-2.40pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3pm, Fri 8.50am-12.25pm",http://www.pirniehall.edin.sch.uk,Non-Denominational,"Mary Ryan-Gillespie",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.972152,-3.244671"
"Playdays Kindergarten","17 East Suffolk Road","EH16 6PH","0131 662 0010",iplaydays@aol.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.930083,-3.168178"
"Prestonfield Primary School Nursery Class","Peffermill Road","EH16 5LJ","0131 667 1336",Admin@Prestonfield.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.50pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.prestonfield.edin.sch.uk,Non-Denominational,"Fiona Murray",South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.9321,-3.149808"
"Priestfield House Nursery","89 Priestfield Road","EH16 5JD","0131 620 2379",info@priestfieldnursery.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.934444,-3.158776"
"Queensferry Early Years Centre - centre decanting to primary school for July","Burgess Road","EH30 9NX","07760 17182 or 07847 116782",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Irene Watson",West,Silver,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.986975,-3.394659"
"Queensferry Primary School Nursery Class","Burgess Road, South Queensferry","EH30 9NX","0131 331 1349",admin@queensferry-pri.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.55am-2.45pm, Fri 8.55am-12.20pm, P3-7 Mon-Thu 9am-3.25pm, Fri 9am-12.35pm",http://www.queensferry-pri.edin.sch.uk,Non-Denominational,"Karen MacGregor",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.986975,-3.394659"
"Rainbow Kindergarten","72 Gilmore Place","EH3 9NX","0131 226 7340",rainbow.kindergarten@tiscali.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.940954,-3.209726"
"Ratho Primary School Nursery Class","1 School Wynd, Ratho","EH28 8TT","0131 333 1293",Admin@ratho.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, P1-2 Mon-Thur 8.50am-2.40pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.ratho.edin.sch.uk,Non-Denominational,"Claire McGlynn","South West","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.922282,-3.384237"
"Rocking Horse Nursery","60A Duddingston Road","EH15 1SG","0131 228 1668",rockinghorsenursery@hotmail.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,East,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.947105,-3.130466"
"Roseburn Primary School Nursery Class","64 Roseburn Street","EH12 5PL","0131 337 6096",Admin@Roseburn.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, P1-2 Mon-Thur 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.roseburn.edin.sch.uk,Non-Denominational,"Viv Donaldson",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.942908,-3.237876"
"Royal Mile Nursery","215 High Street / Old Stamp Office Close","EH1 1PX","0131 537 6342",lesleybothwell@hotmail.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.950118,-3.187014"
"Royal Mile Primary School Nursery Class","86 Canongate","EH8 8BZ","0131 556 3347",Admin@royalmile.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.45pm, Fri 8.50am-11.55am, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.royalmile.edin.sch.uk,Non-Denominational,"Nicky Johnstone",South,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.951868,-3.177408"
"Scallywags Children's Nursery","62 Longstone Road","EH14 2BA","0131 226 6574",scallywags2008@hotmail.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.925274,-3.260837"
"Seabeach Nursery","27 Straiton Place","EH15 2BA","0131 443 2002",seabeachnursery@btconnect.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,East,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.953717,-3.109059"
"Sighthill Early Years Centre","12 Calder Gardens","EH11 4JD","0131 442 2018",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Elaine Beattie","South West",Bronze,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.919316,-3.299422"
"Sighthill Primary School Nursery Class","1 Calder Park","EH11 4NF","0131 453 2464",Admin@Sighthill.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.45am-11.35am, Alternate Fri 9.00am-12.10pm, 12.20pm-3.10pm, P1-2 Mon-Thur 8.50am-2.45pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.30pm",,Non-Denominational,"Eileen Littlewood","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.919805,-3.293898"
Smilechildcare,"17 Calder Grove","EH11 7LZ","0131 476 7800",droger@smilechildcare.org,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Community Childcare Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.917892,-3.294714"
"South Morningside Primary School Nursery Class","116 Comiston Road","EH10 5QN","0131 447 5446",Admin@southmorningside.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9am-11.35am, 12.25pm-3pm, FT 9am-3pm, P1-2 Mon-Thur 8.50am-2.45pm, Fri 8.50am-12.25pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.southmorningside.edin.sch.uk,Non-Denominational,"Elizabeth Grierson",South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.920978,-3.212229"
"St Catherine's RC Primary School Nursery Class","30 Gracemount Drive","EH16 6RN","0131 664 4257",Admin@st-catherines.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, P1-2 Mon-Thur 8.45am-3.05pm, Fri 8.45am-12.10pm, P3-7 Mon-Thu 8.45am-3.05pm, Fri 8.45am-12.16pm",http://www.st-catherines.edin.sch.uk,"Roman Catholic","Paul Hunter",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.903836,-3.156816"
"St David's RC Primary School Nursery Class","4 West Pilton Crescent","EH4 4EP","0131 332 3500",Admin@st-davids.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9am-11.35am, 12.25pm-3pm, P1-2 Mon-Thur 8.50am-2.50pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.st-davids.edin.sch.uk,"Roman Catholic","Siobhan Kellock",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.972152,-3.244671"
"St George's School for Girls","Garscube Terrace","EH12 6BG","0131 311 8005",office@st-georges.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Mrs Liz Stewart",West,,,"Independent School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.949599,-3.236036"
"St James Playgroup","24 Duddingston Park","EH15 1JX","0131 258 4961",miltonemma@hotmail.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Jane Peden",East,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.945889,-3.117815"
"St John Vianney RC Primary School Nursery Class","17 Ivanhoe Crescent","EH16 6AU","0131 664 1742",Admin@st-johnvianney.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.10pm, Fri 8.50am-12.30pm",,"Roman Catholic","Helen Hill",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.918832,-3.157606"
"St John's RC Primary School Nursery Class","Hamilton Terrace","EH15 1NB","0131 669 1363",Admin@st-johns.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.45am-11.20am, 12.20pm-2.55pm, FT 8.45am-2.55pm, P1-2 Mon-Thur 8.50am-2.45pm, Fri 8.50am-11.55am, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.05pm",,"Roman Catholic","Barbara Service",East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.949007,-3.120096"
"St Joseph's RC Primary School Nursery Class","Saughton Road","EH11 3RQ","0131 443 4591",Admin@st-josephs.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.st-josephs.edin.sch.uk,"Roman Catholic","Wynne McDonald",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.929634,-3.272658"
"St Leonard's Nursery School","6 West Adam Street","EH8 9SY","0131 667 4674",Admin@st-leonards-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri, 8.55am-11.30am; 12.25pm-3.00pm",,,"Clare McCusker",South,"Green Flag",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.946855,-3.18279"
"St Mark's RC Primary School Nursery Class","63 Firrhill Crescent","EH13 9EE","0131 441 2948",Admin@st-marks.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, P1-2 Mon-Thur 8.50am-2.50pm, Fri 8.50am-12.25pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.st-marks.edin.sch.uk,"Roman Catholic","James McDevitt","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.911585,-3.23059"
"St Mary's RC Primary School (Leith) Nursery Class","30 Links Gardens","EH6 7JG","0131 554 7291",Admin@st-marys-pri.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.55pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",,"Roman Catholic","Stephen Gilhooley",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.971845,-3.160912"
"St Ninian's RC Primary School Nursery Class","150 Restalrig Road South","EH7 6JA","0131 661 3431",Admin@st-ninians.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.55am-3.05pm, Fri 8.55am-12pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.10pm",http://www.st-ninians.edin.sch.uk,"Roman Catholic","Helen Massaro",North,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.960512,-3.151129"
"St Peter's RC Primary School Nursery Class","10 Falcon Road","EH10 4AH","0131 447 5742",Admin@st-peters.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-12.05pm, P3-7 Mon-Thu 8.50am-3.10pm, Fri 8.50am-12.25pm",http://www.st-peters.edin.sch.uk,"Roman Catholic","Kathleen Nazarian",South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.929699,-3.207108"
"Stableroom Playgroup","Colinton Parish Church, Spylaw Bank Road","EH13 0JW","0131 477 9494",stableroom@hotmail.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.908921,-3.256137"
"Stanwell Nursery School","Junction Place","EH6 5JA","0131 554 1309",Admin@stanwell-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri, 8.55am-3.00pm",http://www.stanwell-nur.edin.sch.uk,,"Alison Smith",North,Green,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.971607,-3.174928"
"Stenhouse Early Years Centre","43 Fords Road","EH11 3HS","0131 443 1207",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Elaine Beattie",West,"Not Registered",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.932735,-3.252725"
"Stenhouse Primary School Nursery Class","4 Saughton Mains Street","EH11 3HH","0131 443 1255",Admin@stenhouse.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, P1-2 Mon-Thur 8.45am-2.50pm, Fri 8.45am-11.50pm, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12pm",http://www.stenhouse.edin.sch.uk,Non-Denominational,"Marlene Galashan",West,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.931339,-3.26466"
"Stepping Stones Nursery","21A Millerfield Place","EH9 1LW","0131 668 4249",jnt_burns@yahoo.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.939116,-3.187661"
"Stockbridge Primary School Nursery Class","17a Hamilton Place","EH3 5BA","0131 332 6109",Admin@stockbridge.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thur 8.55am-2.55pm, Fri 8.55am-12.25pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.30pm",http://www.stockbridge.edin.sch.uk,Non-Denominational,"Faye Calder-Kelly",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.959426,-3.207283"
"Strawberry Hill Nursery","13 Minto Street","EH9 1RG","0131 668 3300",strawberryhillnursery@yahoo.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.936589,-3.176666"
"Suffolk House Nursery","10 Craigmillar Park","EH16 5NE","0131 667 0778",info@suffolkhousenursery.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Fiona Leslie",South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.93003,-3.171009"
"Summerside Kindergarten","1 Summerside Street","EH6 4NT","0131 554 6560",summersidekindergarten@blueyonder.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.974352,-3.187799"
