Name,Address,Postcode,Telephone,Email,Inspections,"Opening Hours","Establishment website",Headteacher,Neighbourhood,"Eco-Schools status","More about the Eco-Schools programme",Type,Location
"Seabeach Nursery","27 Straiton Place","EH15 2BA","0131 443 2002",seabeachnursery@btconnect.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,East,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9537168,-3.1090591"
"Sighthill Early Years Centre","12 Calder Gardens","EH11 4JD","0131 442 2018",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Elaine Beattie","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre","55.919316,-3.2994225"
"Sighthill Primary School Nursery Class","1 Calder Park","EH11 4NF","0131 453 2464",Admin@Sighthill.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.45am-11.35am, Alternate Fri 9.00am-12.10pm, 12.20pm-3.10pm, P1-2 Mon-Thur 8.50am-2.45pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.30pm",http://www.sighthill.edin.sch.uk,"Anne Gallagher","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9198054,-3.2938977"
Smilechildcare,"17 Calder Grove","EH11 7LZ","0131 476 7800",droger@smilechildcare.org,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West","Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Community Childcare Centre","55.9178918,-3.294714"
"South Morningside Primary School Nursery Class","116 Comiston Road","EH10 5QN","0131 447 5446",Admin@southmorningside.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery 9am-11.35am, 12.25pm-3pm
P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-12.20pm
P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12.25pm",http://www.southmorningside.edin.sch.uk,"Elizabeth Grierson",South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9209778,-3.2122294"
"St Catherine's RC Primary School Nursery Class","30 Gracemount Drive","EH16 6RN","0131 664 4257",Admin@st-catherines.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, P1-2 Mon-Thur 8.45am-3.05pm, Fri 8.45am-12.10pm, P3-7 Mon-Thu 8.45am-3.05pm, Fri 8.45am-12.16pm",http://www.st-catherines.edin.sch.uk,"Paul Hunter",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary","55.9038364,-3.1568157"
"St David's RC Primary School Nursery Class","4 West Pilton Crescent","EH4 4EP","0131 332 3500",Admin@st-davids.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 9am-11.35am, 12.25pm-3pm, P1-2 Mon-Thur 8.50am-2.50pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.st-davids.edin.sch.uk,"Siobhan Kellock",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary","55.9727643,-3.2495938"
"St George's School for Girls","9 Garscube Terrace","EH12 6BW","0131 311 8008",admissions@stge.org.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Mrs Paula Dennis",West,Green,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Independent School","55.9498846,-3.2363222"
"St James Playgroup","St James Church, Rosefield Place","EH15 1AZ","0131 258 4961/07847 602329",miltonemma@hotmail.com ,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Emma Milton",East,,,"Playgroup or Part-Time Nursery","55.9519238,-3.1169212"
"St John Vianney RC Primary School Nursery Class","17 Ivanhoe Crescent","EH16 6AU","0131 664 1742",Admin@st-johnvianney.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.10pm, Fri 8.50am-12.30pm",http://www.take2theweb.com/pub/edinburgh/stjohnvianney,"Helen Hill",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary","55.918832,-3.1576063"
"St John's RC Primary School Nursery Class","Hamilton Terrace","EH15 1NB","0131 669 1363",Admin@st-johns.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.45am-11.20am, 12.20pm-2.55pm, FT 8.45am-2.55pm, P1-2 Mon-Thur 8.50am-2.45pm, Fri 8.50am-11.55am, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.05pm",http://www.st-johns.edin.sch.uk/,"Barbara Service",East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary","55.9490068,-3.1200965"
"St Joseph's RC Primary School Nursery Class","Saughton Road","EH11 3RQ","0131 443 4591",Admin@st-josephs.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.st-josephs.edin.sch.uk,"Wynne McDonald",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary","55.9296341,-3.2726582"
"St Leonard's Nursery School","6 West Adam Street","EH8 9SY","0131 667 4674",Admin@st-leonards-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri, 8.55am-11.30am; 12.25pm-3.00pm",,"Clare McCusker",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9468548,-3.1827898"
"St Mark's RC Primary School Nursery Class","63 Firrhill Crescent","EH13 9EE","0131 441 2948",Admin@st-marks.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, P1-2 Mon-Thur 8.50am-2.50pm, Fri 8.50am-12.25pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.st-marks.edin.sch.uk,"James McDevitt","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary","55.9115855,-3.2305903"
"St Mary's RC Primary School (Leith) Nursery Class","30 Links Gardens","EH6 7JG","0131 554 7291",Admin@st-marys-pri.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.55pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.stmarysleith.org,"Stephen Gilhooley",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary","55.9718447,-3.1609118"
"St Ninian's RC Primary School Nursery Class","150 Restalrig Road South","EH7 6JA","0131 661 3431",Admin@st-ninians.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.55am-3.05pm, Fri 8.55am-12pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.10pm",http://www.st-ninians.edin.sch.uk,"Angie Brack",North,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary","55.9601105,-3.1504411"
"St Peter's RC Primary School Nursery Class","10 Falcon Road","EH10 4AH","0131 447 5742",Admin@st-peters.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-12.05pm, P3-7 Mon-Thu 8.50am-3.10pm, Fri 8.50am-12.25pm",http://www.st-peters.edin.sch.uk,"Kathleen Nazarian",South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary","55.9296992,-3.2071078"
"Stanwell Nursery School","Junction Place","EH6 5JA","0131 554 1309",Admin@stanwell-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri, 8.55am-3.00pm",http://www.stanwell-nur.edin.sch.uk,"Alison Smith",North,Green,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9716068,-3.1749279"
"Stenhouse Early Years Centre","43 Fords Road","EH11 3HS","0131 443 1207",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Elaine Beattie",West,"Not Registered","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre","55.9327351,-3.2527246"
"Stenhouse Primary School Nursery Class","4 Saughton Mains Street","EH11 3HH","0131 443 1255",Admin@stenhouse.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, P1-2 Mon-Thur 8.45am-2.50pm, Fri 8.45am-11.50pm, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12pm",http://www.stenhouse.edin.sch.uk,"Steven Jamieson",West,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9313388,-3.2646599"
"Stepping Stones Nursery","21A Millerfield Place","EH9 1LW","0131 668 4249",jnt_burns@yahoo.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9391115,-3.1876634"
"Stockbridge Primary School Nursery Class","17a Hamilton Place","EH3 5BA","0131 332 6109",Admin@stockbridge.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thur 8.55am-2.55pm, Fri 8.55am-12.25pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.30pm",http://www.stockbridge.edin.sch.uk,"Faye Calder-Kelly",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9594257,-3.207283"
"Strawberry Hill Nursery","13 Minto Street","EH9 1RG","0131 668 3300",strawberryhill@bertramuk.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,http://www.strawberryhillnursery.co.uk,,South,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9365891,-3.1766658"
"Suffolk House Nursery","10 Craigmillar Park","EH16 5NE","0131 667 0778",info@suffolkhousenursery.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Fiona Leslie",South,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9300297,-3.171009"
"Summerside Kindergarten","1 Summerside Street","EH6 4NT","0131 554 6560",summersidekindergarten@blueyonder.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,,,"Private Day Nursery","55.9743519,-3.1877991"
"The Edinburgh Academy Nursery","10 Arboretum Road","EH3 5PL","0131 624 4971",lab@edinburghacademy.org.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,,,"Independent School","55.9689988,-3.2152347"
"The Owl and The Pussycat Nursery","1 Claverhouse Drive","EH16 6BR","0131 664 1345",owlandpussycatuk@aol.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,,,"Private Day Nursery","55.9171548,-3.1545769"
"The Royal High Primary School Nursery Class","61 Northfield Broadway","EH8 7RX","0131 669 3200",Admin@royalhigh-pri.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.55am-3pm, Fri 8.55am-12.20pm, P3-7 Mon-Thu 8.55am-3.25pm, Fri 8.55am-12.30pm",http://www.royalhigh-pri.edin.sch.uk/,"Eileen Forrest",East,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9545714,-3.1402468"
"The Spinney Lane Nursery School","13a The Spinney","EH17 7LD","0131 664 9102",Admin@spinneylane-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri, 8.55am-11.30am, 12.30pm-3.05pm",,"Richard Napier",South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9084027,-3.1392912"
"The University of Edinburgh Day Nursery","79/81 Dalkeith Road","EH16 5AL","0131 667 9584",day.nursery@ed.ac.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","College/University Nursery","55.9370609,-3.1705328"
"Tom Thumb Nursery","The Vennel Hall, Smithsland","EH30 9HU","0131 331 4273",debbieurquhart@talktalk.net,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Playgroup or Part-Time Nursery","55.9894373,-3.3957898"
"Towerbank Primary School Nursery Class","Figgate Bank","EH15 1HX","0131 669 1551",Admin@Towerbank.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery: 8:30am-11.40am / 12.20pm-3.30pm. P1-2: Mon-Thur 9am-3.10pm, Fri 9am-12.20pm, P3-7: Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.20pm",http://www.towerbank.edin.sch.uk,"Joyce Gilmour",East,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9548283,-3.111671"
"Trinity Nursery","c/o Wardie Parish Church, Primrose Bank Road","EH5 3JE","0131 551 3847",pamjohnston@blueyonder.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,,,"Playgroup or Part-Time Nursery","55.9789647,-3.2091539"
"Trinity Tots Nursery","9 Granton Road","EH5 3QJ","0131 551 3020",trinitytotsLJK@aol.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9710039,-3.2135026"
"Tynecastle Nursery School","15 McLeod Street","EH11 2NJ","0131 337 5461",Admin@tynecastle-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri, 8.55am-3.00pm",http://www.tynecastle-nur.edin.sch.uk,"Stella Brown",West,"Green Flag",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School","55.9388215,-3.2305093"
"Uni-Tots Nursery","University of Edinburgh, Dept. of Psychology, 7 George Square","EH8 9JZ","0131 650 3448",a.cameron@ed.ac.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","College/University Nursery","55.944313,-3.189014"
"Victoria Quay Nursery","Victoria Quay, Leith Docks","EH6 6QQ","0131 244 0784",beth.pearce@northedinburghchildcare.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Bronze,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Private Day Nursery","55.978355,-3.173671"
"Viewforth Early Years Centre","18 Viewforth Terrace","EH10 4LH","0131 229 6667",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Helen Innes/Fiona Allen",South,Silver,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre","55.9387405,-3.2114875"
"Walker Street Nursery","17 Walker Street","EH3 7NE","0131 220 2699",contact@walkerstreetnursery.org.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9498635,-3.214242"
"Wardie Nursery","Wardie Residents Club, 125 Granton Road","EH5 3NJ","07969 099340",wardienursery@gmail.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Playgroup or Part-Time Nursery","55.9761357,-3.2157628"
"Waterfront Nursery","Edinburgh`s Telford College, 350 West Granton Road","EH5 1QE","0131 559 4080",lynn.muir@ed-coll.ac.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,,,"College/University Nursery","55.9773321,-3.244953"
"Wee Gems Croileagan Nursery","6a Featherhall Avenue","EH12 7TQ","0131 334 2960",edinburgh@weegems.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9428838,-3.2882703"
"Wester Coates Nursery School","13 Wester Coates Terrace","EH12 5LR","0131 346 7398",wcns@hotmail.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Playgroup or Part-Time Nursery","55.9468097,-3.2319038"
