64th Leith Scouts,Stockbridge Primary School,EH3 5BA,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
66th Leith Explorer Scouts,Charlotte Chapel,EH2 4LS,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
66th Leith Scouts,Charlotte Chapel West Rose St,EH2 4LS,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
6th Leith Explorer Scouts,Trinity Academy,EH6 4QA,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
6th Leith Scouts,Newhaven Victoria School,EH6 4NB,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
71st Haymarket Scouts,233 Corstorphine Rd Scout Hall,EH12 7AR,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
75th Blackford Scouts,Millar Hall Gilmerton Road,EH16 5TY,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
7th Leith S.Scouts,Scout Hall Newhaven Road Lane,EH6 4QA,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
82nd Inverleith Scouts,Cramond Church (Main Hall),EH4 6NT,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
87th Inverleith S.Scouts,Scout Hall Boswall Parkway,EH5 2PW,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
88th Haymarket Scouts,Scout Hall Broomhall Avenue,EH12 7NW,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
8th Blackford Scouts,South Side community Centre117 Nicolson St,EH8 9ER,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
98th Pentland Scouts,Colinton Mains Parish Church,EH13 9BT,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
9th Morningside Scouts,George Watsons,EH10 5EF,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
9th Pentland Scouts,Ratho Primary School,EH28 8TT,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
Albatross Explorer Scouts,Millar Hall Gilmerton Road,EH16 5TY,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
Colinton Explorer Scouts,Scout Hall Spylaw Park,EH13 0JS,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
District South Explorer Scouts,Greenside Parish Church,EH1 3AA,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
Douglas Brown Explorer Scouts,Scout Hall Corstorphine High St,EH12 7SU,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
Edge Explorer Scouts,"Scout Hall, Forthview Crescent",EH14 5QU,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
Explorer Scouts,Liberton Kirk Halls,EH16 6RY,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
Funnel Webs Explorer Scouts,Scout Hall Saughton Crescent,EH12 5SP,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenbank Explorer Scouts,Greenbank Church,EH10 6ES,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverleith Explorer Scouts,Queensferry Scouts Hall,EH30 9SQ,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverleith Explorer Scouts,St Columbas Church Blackhall,EH4 2AB,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverleith Explorer Scouts,"Scout Hall, Davidsons Mains",EH4 5BU,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverleith Explorer Scouts,Cramond Church (Projection Room),EH4 6NT,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maverick Explorer Scouts,71st Scout Hall,EH12 7AR,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadows Explorer Scouts,"Marchmont, St Giles Church",EH9 2DW,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Face Explorer Scouts,Cluny Church,EH10 6BQ,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentland Hills Explorer Scouts,Colinton Mains,EH13 9BT,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portobello Explorer Scouts,St Christopher's Church Hall,EH7 6RQ,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Morningside Explorer Scouts,Fairmilehead Parish Church,EH10 7AA,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Explorer Scouts,Wardie Church hall,EH5 3QE,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canongate Youth Project,South Bridge Resource Centre,EH1 1LT,"South Bridge Resource Centre, 6 Infirmary Street, Edinburgh",EH1 1LT,training@canongateyouthproject.org,0131 556 9719,http://www.canongateyouthproject.org,,1,0,,1,1,0,,,,,,,,1,1,0,1,1,,1,1,1,0,1,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youth Vision,Threipmuir cottage,EH14 7AX,44 Harlaw Road,EH14 7Ax,youthvision@o2.co.uk,07999 948 491,http://www.youthvisionscotland.co.uk,1,0,0,,1,1,0,,,,,,,1,0,1,1,0,1,,0,1,,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
