"Street Name","Locality","Street Adoption Status","Property Notice Description"
"Relugas Lane","Grange","Private","RELUGAS LANEPRIVATE LANE: From RELUGAS ROAD north-westwards and south-westwards to ST. THOMAS ROAD. Not adopted for maintenance under the List of Public Roads."
"Relugas Place","Grange","Adopted","RELUGAS PLACEFrom RELUGAS ROAD southwards, westwards and southwards  -  a  cul-de-sac, including remote footpaths.Carriageways and adjacent footways adopted for maintenance. Public except parking areas."
"Relugas Road","Grange","Adopted","RELUGAS ROADFrom MAYFIELD ROAD extending westwards to centre of ST. THOMAS ROAD.Carriageways and adjacent footways adopted for maintenance. Excluding verge frontage to No's 71,83,85,87,89 and 91."
"Rennie's Isle","North Leith","Prospectively Adopted","RENNIE'S ISLEFrom OCEAN DRIVE south-east, east then south-east  - a cul-de-sac including layby parking. Also including remote footways as follows:parallel to the carriageway; running east from No.5 to east side of No.7; serving No.s 5-6; running south to rear of No.s 21-17; outside south gable of No17.  Carriageways and adjacent footways are prospectively adoptable.Excluding end- on parking and parking courtyards."
"Research Avenue North","Riccarton/muirwood","Private","RESEARCH AVENUE NORTH"
"Research Avenue South","Riccarton/muirwood","Private","RESEARCH AVENUE SOUTH"
"Restalrig Avenue","Restalrig","Adopted","RESTALRIG AVENUEFrom RESTALRIG ROAD eastwards to  PORTOBELLO ROAD.Carriageways and adjacent footways adopted for maintenance. Public except lane at rear of No's 151 to 161."
"Restalrig Avenue Lane East","Restalrig","Private","RESTALRIG AVENUE LANE EASTPRIVATE LANE: From 161/163 RESTALRIG AVENUE southwards and eastwards.Not adopted for maintenance under the List of Public Roads."
"Restalrig Avenue Lane West","Restalrig","Private","RESTALRIG AVENUE LANE WESTPRIVATE LANE: At junction of RESTALRIG ROAD SOUTH  and RESTALRIG AVENUE.Not adopted for maintenance under the List of Public Roads."
"Restalrig Circus","Lochend","Adopted","RESTALRIG CIRCUSFrom east side of RESTALRIG ROAD eastwards with branch eastwards and southwards to north side of RESTALRIG CRESCENT including cul-de-sac north-east off Restalrig CircusCarriageways and adjacent footways adopted for maintenance."
"Restalrig Crescent","Lochend","Adopted","RESTALRIG CRESCENTFrom east side RESTALRIG ROAD north-eastwards to FINDLAY GARDENS.  Carriageways and adjacent footways adopted for maintenance."
"Restalrig Drive","Restalrig","Adopted","RESTALRIG DRIVErom RESTALRIG ROAD SOUTH to CRAIGENTINNY ROAD. Carriageways and adjacent footways adopted for maintenance."
"Restalrig Gardens","Restalrig","Adopted","RESTALRIG GARDENSFrom RESTALRIG  ROAD extending eastwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance.  Including parking courtyards servingRestalrig House & Lochend House."
"Restalrig Park","Lochend","Adopted","RESTALRIG PARKFrom Restalrig Road south-westwards then south ending in a turning circle. including parking on north side of carriageway and courtyards on south side.Carriageways and adjacent footways are adopted for maintenance."
"Restalrig Railway Path","Albion","Council (NOT maintained by Rds Serv)","RESTALRIG RAILWAY PATHRemote footway following the line of the old railway from Easter Road at Thorntreeside south then generally east then north-east to Crematorium at Seafield.Not maintained by Road Services"
"Restalrig Road","Lochend","Adopted","RESTALRIG ROADCarriageways and adjacent footways adopted for maintenance."
"Restalrig Road","Lochend","Adopted","RESTALRIG ROADCarriageways and adjacent footways adopted for maintenance."
"Restalrig Road South","Restalrig","Adopted","RESTALRIG ROAD SOUTHFrom London Road north to Restalrig Crescent/Lochend Avenue including 3 cul-de-sacs serving No.s 2-12, No.s 35-67 & No.s176-184 & parking bays serving No.s2-12. Carriageways and adjacent footways adopted for maintenance.   Public except private parking courtyard to the rear of No.s 176-182 and 6 end-on parking bays at the north-east of the same cul-de-sac.  RESTALRIG AVENUE LANE WEST running south-east off  the roundabout junction of Restalrig Avenue is PRIVATE."
"Restalrig Square","Restalrig","Adopted","RESTALRIG SQUAREFrom east side RESTALRIG ROAD eastwards to enclosed square.Carriageways and adjacent footways adopted for maintenance."
"Restalrig Terrace","Lochend","Adopted","RESTALRIG TERRACEFrom LOCHEND ROAD eastwards to  EAST RESTALRIG TERRACE withbranch southwards to cul-de-sac end. Carriageways and adjacent footways adopted for maintenance."
"Riccarton Avenue","Riccarton/muirwood","Adopted","RICCARTON AVENUEFrom CURRIEHILL ROAD eastwards to RICCARTON MAINS ROAD.Carriageways and adjacent footways adopted for maintenance."
"Riccarton Crescent","Riccarton/muirwood","Adopted","RICCARTON CRESCENTFrom RICCARTON AVENUE south-eastwards to  RICCARTON MAINS ROAD. Carriageways and adjacent footways adopted for maintenance."
"Riccarton Drive","Riccarton/muirwood","Adopted","RICCARTON DRIVEFrom WEAVERS KNOWE CRESCENT north-eastwards to  WEAVERS KNOWE CRESCENT.Carriageways and adjacent footways adopted for maintenance."
"Riccarton Grove","Riccarton/muirwood","Adopted","RICCARTON GROVEFrom RICCARTON CRESCENT north-eastwards and south-eastwards  -  a cul-de-sac. Carriageways and adjacent footways adopted for maintenance."
"Riccarton Mains Cottages","Riccarton/muirwood","Adopted","RICCARTON MAINS COTTAGESFrom Riccarton Mains Road west and south-westwards  - access road to cottages.Carriageways and adjacent footways are included for maintenance."
"Riccarton Mains Road","Riccarton/muirwood","Adopted","RICCARTON MAINS ROADFrom LANARK ROAD WEST (A70) to CALDER ROAD (A71) excluding service lanes to rear. Including the access to RICCARTON MAINS COTTAGES.Carriageways and adjacent footways adopted for maintenance. Public except service lane to rear."
"Richmond Lane","Newington","Adopted","RICHMOND LANEFrom WEST RICHMOND  STREET south-eastwards to THE PLEASANCE. Carriageways and adjacent footways adopted for maintenance."
"Richmond Place","Newington","Adopted","RICHMOND PLACEFrom the centre-line of WEST ADAM STREET south-eastwards to WEST RICHMOND STREET. Carriageways and adjacent footways adopted for maintenance."
"Richmond Terrace","Dalry","Adopted","RICHMOND TERRACEFrom DALRY ROAD south-eastwards, south-westwards and north-westwards returning to DALRY ROAD. Carriageways and adjacent footways adopted for maintenance. Excluding pend leading to BREADALBANE TERRACE."
"Riddle's Court","Tollcross","Adopted","RIDDLE'S COURT322 LAWNMARKET.Carriageways and adjacent footways adopted for maintenance.Public except the second pend and small courtyard to the south."
"Riding Park","Cramond","Adopted","RIDING PARKFrom BARNTON AVENUE WEST southwards and eastwards including a westerly branch. Carriageways and adjacent footways adopted for maintenance. Public except parking and landscaped areas."
"Riego Street","Tollcross","Adopted","RIEGO STREET From EAST FOUNTAINBRIDGE east- and south-wards to HIGH RIGGS.Carriageways and adjacent footways adopted for maintenance."
"Rillbank Crescent","Bruntsfield","Adopted","RILLBANK CRESCENTThat part of MELVILLE TERRACE between the west side of RILLBANK TERRACE and the east side of SYLVAN PLACE. Carriageways and adjacent footways adopted for maintenance."
"Rillbank Terrace","Bruntsfield","Private","RILLBANK TERRACEPRIVATE TERRACE: From Line of MELVILLE TERRACE southwards  -  a cul-de-sac.Not adopted for maintenance under the List of Public Roads."
"Ringwood Place","Liberton","Adopted","RINGWOOD PLACEFrom GLENVARLOCH CRESCENT southwards to GLENDINNING CRESCENT including two access paths.Carriageways and adjacent footways adopted for maintenance."
"Rintoul Place","Stockbridge","Adopted","RINTOUL PLACEOn the east side of the terraced houses from GLENOGLE ROAD north-westwards  -  a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Riselaw Crescent","Braid Hills","Adopted","RISELAW CRESCENTFrom COMISTON ROAD to  BRAID ROAD.Carriageways and adjacent footways adopted for maintenance."
"Riselaw Place","Braid Hills","Adopted","RISELAW PLACEFrom COMISTON ROAD eastwards and northwards to RISELAW ROAD.Carriageways and adjacent footways adopted for maintenance."
"Riselaw Road","Braid Hills","Adopted","RISELAW ROADFrom COMISTON ROAD to  BRAID ROAD.Carriageways and adjacent footways adopted for maintenance."
"Riselaw Terrace","Braid Hills","Adopted","RISELAW TERRACEFrom RISELAW CRESCENT northwards  to RISELAW PLACE.Carriageways and adjacent footways adopted for maintenance."
"Ritchie Place","Polwarth","Adopted","RITCHIE PLACEFrom BRYSON ROAD southwards to  WATSON CRESCENT.Carriageways and adjacent footways adopted for maintenance."
"River Almond Walkway","Cramond","Council (NOT maintained by Rds Serv)","RIVER ALMOND WALKWAY"
"Riversdale Crescent","Saughtonhall","Adopted","RIVERSDALE CRESCENTFrom the east side of RIVERSDALE  ROAD eastwards.   Carriageways and adjacent footways adopted for maintenance. Public except south footway at No 12."
"Riversdale Grove","Saughtonhall","Adopted","RIVERSDALE GROVEFrom RIVERSDALE CRESCENT northwards then branching east and west  -  a cul-de-sac.  Carriageways and adjacent footways adopted for maintenance."
"Riversdale Road","Saughtonhall","Adopted","RIVERSDALE ROADFrom SAUGHTONHALL DRIVE eastwards and thence southwards to SAUGHTONHALL AVENUE.  Carriageways and adjacent footways adopted for maintenance."
"Riverside","Cramond","Council (NOT maintained by Rds Serv)","RIVERSIDEPRIVATE: A foot passage partly used by vehicles on the east bank of the RIVER ALMOND from the posts at the junction of CRAMOND GLEBE ROAD and the GRANTON-CRAMOND FORESHORE south-westwardsto BRAE PARK ROAD.Not adopted for maintenance under the List of Public Roads.Maintained by Parks Department except the rear of the property which is in School Brae which is private."
"Riverside","Newbridge","Adopted","RIVERSIDEFrom Parkside westwards with loop road on north side and 2 cul-de-sac branches  on the south side with a 3rd cul-de-sac branch west then north west from opposite No.13.Carriageways and adjacent footways adopted for maintenance.  Includes parking area outside gableend of No.12."
"Riverside Road","Craigiehall","Private","RIVERSIDE ROADPRIVATE ROAD: From the A90 north of CRAMOND BRIDGE eastwards then north to C157 Kirkliston to Burnshot road. Maintained by the Ministry of Defence. Not adopted for maintenance under the List of Public Roads.The underpass under the A90 is adopted for maintenance."
"Robb's Loan","Slateford","Adopted","ROBB'S LOANFrom GORGIE ROAD at CHESSER  COTTAGES southwards and westwards to CHESSER CRESCENT.  Carriageways and adjacent footways adopted for maintenance."
"Robb's Loan Grove","Slateford","Adopted","ROBB'S LOAN GROVE From ROBB'S LOAN north-west. Carriageway and adjacent footway adopted for maintenance."
"Robert Burns Drive","Liberton","Adopted","ROBERT BURNS DRIVEFrom DOUBLE HEDGES ROAD south-eastwards to CUMNOR CRESCENT.  On south side of road:end-on parking areas outside No.s2 & 4 are Adopted ExHousing;  end-on parking outside gable ends of No.s47-49, 59-61 &75-77 Jean Armour Avenue are also Adopted ExHousing.Carriageways and adjacent footways adopted for maintenance. Excluding all other parking areas and footways."
"Robertson Avenue","Gorgie","Adopted","ROBERTSON AVENUEFrom GORGIE  ROAD to SLATEFORD ROAD.Carriageways and adjacent footways adopted for maintenance."
"Robertson Gait","Gorgie","Prospectively Adopted","ROBERTSON GAITPROSPECTIVELY ADOPTABLE: From Robertson Avenue south-west - a cul-de-sac.Carriageways and adjacent footways are not as yet adopted for maintenance."
"Robertson's Close","Old Town","Adopted","ROBERTSON'S CLOSEFrom COWGATE to INFIRMARY STREET.Carriageways and adjacent footways adopted for maintenance."
"Robertson's Court","Abbeyhill","Prospectively Adopted","ROBERTSON'S COURTCarriageway entrance off CALTON ROAD at rear to ABBEYHILL."
"Robin Place","Craigmillar","Prospectively Adopted","ROBIN PLACEPROSPECTIVELY ADOPTABLE:From Tudsbery Avenue west wards with a branch north including turning head.  Not as yet included for maintenance under the List of Public Roads"
"Rocheid Park","Inverleith","Adopted","ROCHEID PARKFrom EAST FETTES AVENUE at entrance to FETTES COLLEGE northwards with two branches westwards. Carriageways and adjacent footways adopted for maintenance. Public except parking; landscaped areas and remote footways: from No.11 to 12; from No.9 northwards to privateparking and from No.9 east and south to private parking."
"Rocheid Path","Stockbridge","Council (NOT maintained by Rds Serv)","ROCHEID PATHPRIVATE: From Arboretum Avenue eastwards along north bank of the Water of Leith and then north-east to the west end of Inverleith Terrace Lane.  Not included for maintenance under the List of Public Roads."
"Rochester Terrace","Bruntsfield","Adopted","ROCHESTER TERRACEFrom MERCHISTON CRESCENT  southwards to MARDALE CRESCENTand BLANTYRE TERRACE.  Carriageways and adjacent footways adopted for maintenance."
"Roddinglaw Farm","Gogar","Private","RODDINGLAW FARMPRIVATE STREET: From Roddinglaw Road west to a turning circle then east back to Roddinglaw Road.Not included for maintenance under the List of Public Roads."
"Roddinglaw Road","Gogar","Adopted","RODDINGLAW ROADOff GOGARSTONE ROAD via RODDINGLAW FARM to GOGARMUIR ROAD.Carriageways and adjacent footways adopted for maintenance under the List of Public Roads."
"Rodney Place","Broughton","Adopted","RODNEY PLACEFrom Rodney Street south-westwards - a cul-de-sac.Carriageways and adjacent footways adopted for maintenance. Public except parking."
"Rodney Street","Broughton","Adopted","RODNEY STREETPart of BELLVUE.  From the centre-line of  EYRE PLACE south-eastwards to the division between the School and BELLEVUE CHAPEL. Carriageways and adjacent footways adopted for maintenance."
"Romero Place","Prestonfield","Private","ROMERO PLACEPRIVATE PLACE: south-eastwards off Dalkeith Road.Not adopted for maintenance under the List of Public Roads."
"Ronaldson's Wharf","North Leith","Adopted","RONALDSON'S WHARFHistoric. No longer exists"
"Rope Walk","Bruntsfield","Private","ROPE WALKPRIVATE:From Leamington Road south-west to Viewforth on south side of canal.Not adopted for maintenance under the List of Public Roads."
"Rose Court","Davidsons Mains","For Information Only","ROSE COURTProperties named and numbered seperately to main access road called Easter Park Drive. Easter Park Drive : Carriageways and adjacent footways are adopted for maintenance.Including remote linked footways and service strips."
"Rose Lane","South Queensferry","Adopted","ROSE LANECarriageways and adjacent footways adopted for maintenance."
"Rose Park","Trinity","Adopted","ROSE PARKRunning westerly off SOUTH TRINITY ROAD.  Carriageways and adjacent footways adopted for maintenance. Public including remote footways along north side.Excluding parking; landscaped areas; footway westwards from No.4 and footway from carriageway to entranceto No.5."
"Rose Street","New Town","Adopted","ROSE STREETFrom CHARLOTTE STREET to SOUTH ST. DAVID STREET intersected by CASTLE STREET, FREDERICK STREET and HANOVER STREET.Carriageways and adjacent footways adopted for maintenance."
"Rose Street North Lane","New Town","Adopted","ROSE STREET NORTH LANE 6 loop roads, all on the North side of ROSE STREET.Carriageways and adjacent footways adopted for maintenance."
"Rose Street South Lane","New Town","Adopted","ROSE STREET SOUTH LANE Four loops on the south side of ROSE STREET.Carriageways and adjacent footways adopted for maintenance."
"Rosebank Cottages","Bruntsfield","Adopted","ROSEBANK COTTAGESOff ROSEMOUNT BUILDINGS;  Two Cul-de-sacs north and three south from main  access westwards.Carriageways and adjacent footways adopted for maintenance."
"Rosebank Gardens","Trinity","Adopted","ROSEBANK GARDENSFrom ROSEBANK ROAD northwards  -  a  cul-de-sac including footpath extending to northern boundary of Nos. 6-7.Carriageways and adjacent footways adopted for maintenance."
"Rosebank Grove","Trinity","Adopted","ROSEBANK GROVEFrom GRANTON ROAD eastwards  -   a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Rosebank Road","Trinity","Adopted","ROSEBANK ROADFrom GRANTON ROAD eastwards  to WARDIE ROAD.Carriageways and adjacent footways adopted for maintenance."
"Rosebery Avenue","South Queensferry","Adopted","ROSEBERY AVENUEFrom KIRKLISTON ROAD (B907) eastwards to ASHBURNHAM ROAD. Carriageways and adjacent footways adopted for maintenance."
"Rosebery Court","South Queensferry","Adopted","ROSEBERY COURTDevelopment bounded by Lawson Crescent and Roseberry Avenue. The access road off east side of Lawson Crescent including parking areas and internal footpaths is adopted for maintenance. Carriageways and adjacent footways adopted for maintenance."
"Rosebery Crescent","New Town","Adopted","ROSEBERY CRESCENTFrom HAYMARKET TERRACE northwards to west corners of GROSVENOR  CRESCENT and LANSDOWNE CRESCENT.Carriageways and adjacent footways adopted for maintenance."
"Rosebery Crescent Lane","New Town","Adopted","ROSEBERY CRESCENT LANEFrom east side ROSEBERY CRESCENT  -   a cul-de-sac. Carriageways and adjacent footways adopted for maintenance."
"Roseburn Avenue","Roseburn","Adopted","ROSEBURN AVENUEFrom ROSEBURN CRESCENT south-eastwards to ROSEBURN STREET.Carriageways and adjacent footways adopted for maintenance."
"Roseburn Cliff","Wester Coates","Adopted","ROSEBURN CLIFFFrom ROSEBURN TERRACE  north-eastwards - a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Roseburn Cliff","Wester Coates","Adopted","ROSEBURN CLIFFFrom ROSEBURN TERRACE  north-eastwards - a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Roseburn Crescent","Roseburn","Adopted","ROSEBURN CRESCENTFrom the northern boundary of the access path at No. 18 ROSEBURN PLACE extending south-westwards to a cul-de-sac. Carriageways and adjacent footways adopted for maintenance. Excluding all landscaped and parking areas."
"Roseburn Drive","Roseburn","Adopted","ROSEBURN DRIVEFrom ROSEBURN PL ACE southwards to ROSEBURN AVENUE. Carriageways and adjacent footways adopted for maintenance."
"Roseburn Gardens","Roseburn","Adopted","ROSEBURN GARDENSFrom ROSEBURN TERRACE  southwards to ROSEBURN PLACE.Carriageways and adjacent footways adopted for maintenance."
"Roseburn Maltings","Roseburn","Adopted","ROSEBURN MALTINGSFrom Russell Road north-eastwards and splitting into two branches at a T-junction, one north-westwards and one south-eastwards.  Carriageways and adjacent footways adopted for maintenance. Public including: turning heads; remote footway from No.5 south and east at No.1 to carriageway; parking bays on inside of turning oval; outside south gable of No.17; parking laybys between No.s1-24 and layby outside the north-west gable of No.14; parking courtyard accessed from Russell Road and grass service strip around.Excluding all other parking and remote footways."
"Roseburn Path","","Adopted","ROSEBURN PATHCycleway - From Russell Road generally north-west & then north-eastwards to Telford Path at Muttonhole Gate. Part of the Caledonian Cycle Track which runs along the line of the old Caledonian railway. Cycleway adopted for maintenance. Accesses off east side to Balbirnie Place &Wester Coates Terrace are adopted."
"Roseburn Place","Roseburn","Adopted","ROSEBURN PLACEFrom ROSEBURN STREET westwards and southwards to ROSEBURN CRESCENT.  Carriageways and adjacent footways adopted for maintenance."
"Roseburn Street","Roseburn","Adopted","ROSEBURN STREETFrom Roseburn Terrace southwards to junction of Westfield Road and the West Approach Road including the cul-de-sac branch east of Rugby ground between No.s 78-98.Carriageways and adjacent footways adopted for maintenance."
"Roseburn Terrace","Wester Coates","Adopted","ROSEBURN TERRACEFrom WEST COATES westwards to the centre-line of  COLTBRIDGE NEW BRIDGE at the start of CORSTORPHINE ROAD.  Carriageways and adjacent footways adopted for maintenance. Public except the north-wards cul-de-sac which is private."
"Rosefield Avenue","Portobello West","Adopted","ROSEFIELD AVENUEFrom PORTOBELLO HIGH STREET southwards to  ROSEFIELD PLACE.Carriageways and adjacent footways adopted for maintenance."
"Rosefield Avenue Lane","Portobello West","Adopted","ROSEFIELD AVENUE LANEPART PUBLIC AND PART PRIVATE: PUBLIC From ROSEFIELD AVENUE south-eastwards to the north-western boundary of Nos 8,9, 10 ROSEFIELD AVENUE LANE. Carriageways and adjacent footways adopted for maintenance. PRIVATE north-westwards cul-de-sac and District Council Maintained north-eastwards cul-de-sac - not adopted for maintenance under the List of Public Roads."
"Rosefield Place","Portobello West","Adopted","ROSEFIELD PLACEFrom BRIGHTON PLACE extending northwards (with footbridge), with south-westwards branch.Carriageways and adjacent footways adopted for maintenance. Excluding ROSEFIELD LANE north-westwards from ROSEFIELD PLACE which is private."
"Rosefield Place Lane","Portobello West","Private","ROSEFIELD PLACE LANEPRIVATE LANE: From ROSEFIELD PLACE south-westwards and a branch south-eastwards.Not adopted for maintenance under the List of Public Roads."
"Rosefield Street","Portobello West","Adopted","ROSEFIELD STREETFrom ROSEFIELD AVE NUE north-westwards  -  a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Rosemount Buildings","Bruntsfield","Partially Adopted","ROSEMOUNT BUILDINGSFrom Gardiners Crescent south with loop road on west side surrounding square.Street split between PUBLIC and PRIVATELY maintained sections.PUBLIC: From Gardiners Crescent at No.4 southwards to south-east gable of No.27 Rosemount Buildings.Carriageways and adjacent footways adopted for maintenance. PRIVATE:  The street which lies on the north-west, south-west and south-east sides of the square forming Rosemount Buildings and the internal quadrangle.Not adopted for maintenance under the List of Public Roads."
"Roseneath Place","Bruntsfield","Adopted","ROSENEATH PLACECarriageways and adjacent footways adopted for maintenance."
"Roseneath Place","Bruntsfield","Adopted","ROSENEATH PLACEFrom WARRENDER PARK ROAD northwards to MEADOW PLACE.Carriageways and adjacent footways adopted for maintenance."
"Roseneath Street","Bruntsfield","Adopted","ROSENEATH STREETSide name  WARRENDER PARK ROAD. From ARGYLE PLACE westwards to ROSENEATH PLACE.Carriageways and adjacent footways adopted for maintenance."
"Roseneath Terrace","Bruntsfield","Adopted","ROSENEATH TERRACEFrom ARGYLE PLACE westwards to  ROSENEATH PLACE.Carriageways and adjacent footways adopted for maintenance."
"Rosevale Place","Lochend","Adopted","ROSEVALE PLACEFrom INDUSTRIAL ROAD southwards to ROSEVALE TERRACE.Carriageways and adjacent footways adopted for maintenance."
"Rosevale Terrace","Lochend","Adopted","ROSEVALE TERRACEFrom PRIMROSE STREET south-east corner of SOMERSET PLACE eastwards to PARKVALE PLACE.  Carriageways and adjacent footways adopted for maintenance."
"Roseville Gardens","Trinity","Adopted","ROSEVILLE GARDENSCul-de-sac off  west side of LAVEROCKBANK ROAD. Carriageways and adjacent footways adopted for maintenance."
"Ross Gardens","Blackford","Adopted","ROSS GARDENSFrom MAYFIELD ROAD extending westwards  to LANGTON ROAD including square on south side.Carriageways and adjacent footways adopted for maintenance."
"Ross Place","Blackford","Adopted","ROSS PLACEFrom ROSS GARDENS southwards to LUSSIELAW ROAD. Carriageways and adjacent footways adopted for maintenance."
"Ross Road","Mayfield","Adopted","ROSS ROADFrom MAYFIELD ROAD eastwards to GORDON TERRACE. Carriageways and adjacent footways adopted for maintenance."
"Rosshill Terrace","Dalmeny","Adopted","ROSSHILL TERRACESide name of STATION ROAD, the section south of BANKHEAD GROVE.Carriageways and adjacent footways adopted for maintenance. FORTH TERRACE leading south-wards from ROSSHILL TERRACE is private."
"Rossie Place","Broughton","Adopted","ROSSIE PLACEFrom EASTER ROAD  eastwards to PITLOCHRY PLACE.Carriageways and adjacent footways adopted for maintenance."
"Rosslyn Crescent","Bonnington","Adopted","ROSSLYN CRESCENTFrom PILRIG STREET south-westwards - a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Rosslyn Terrace","Bonnington","Adopted","ROSSLYN TERRACEFrom ROSSLYN CRESCENT south-eastwards - a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Rothesay Mews","New Town","Adopted","ROTHESAY MEWSFrom PALMERSTON PLACE north end, north and eastwards to wall of BELFORD ROAD.Carriageways and adjacent footways adopted for maintenance."
"Rothesay Place","New Town","Adopted","ROTHESAY PLACEFrom PALMERSTON PLACE eastwards to northmost angle of DRUMSHEUGH GARDENS.Carriageways and adjacent footways adopted for maintenance. PRIVATE STREET: ROTHESAY PLACE MEWS joins between No.6-7 ROTHESAY PLACE, running at the rear of No.s 1-11A ROTHESAY PLACE - responsibility for maintenance lies with the adjoining owners."
"Rothesay Place Mews","New Town","Private","ROTHESAY PLACE MEWSPRIVATE: Entering from ROTHESAY PLACE between Nos. 6 & 7 south-eastwards - lane opening out into a yardNot adopted for maintenance under the List of Public Roads."
"Rothesay Terrace","New Town","Adopted","ROTHESAY TERRACEFrom north side of ROTHESAY PLACE - round crescent shaped enclosure.Carriageways and adjacent footways adopted for maintenance."
"Roull Grove","Broomhall","Adopted","ROULL GROVECul-de-sac on south side of ROULL ROAD. Carriageways and adjacent footways adopted for maintenance."
"Roull Place","Broomhall","Adopted","ROULL PLACEFrom ROULL ROAD northwards - a cul-de-sac.Carriageways and adjacent footways adopted for maintenance. Public except the lay by on east side of carriageway, flagged area of footway to the north of lay by, and forecourt to the lock up garages to the west of the street."
"Roull Road","Broomhall","Adopted","ROULL ROADFrom CASTLE AVENUE southwards and eastwards to SAUGHTON ROAD NORTH.Carriageways and adjacent footways adopted for maintenance. LADIEMEADOW southwards from ROULL ROAD is private."
"Roundabout at Bingham Medway and Duddingston Row","Bingham","Adopted","ROUNDABOUT AT BINGHAM MEDWAY AND DUDDINGSTON ROWCarriageways and adjacent footways adopted for maintenance."
"Roundabout at Milton Road and Duddingston Park","Magdalene","Adopted","ROUNDABOUT AT MILTON ROAD AND DUDDINGSTON PARKCarriageways and adjacent footways adopted for maintenance."
"Roundabout at Milton Road and Sir Harry Lauder Road","Magdalene","Adopted","ROUNDABOUT AT MILTON ROAD AND SIR HARRY LAUDER ROAD"
"Roundabout at Sir Harry Lauder Road and Kings Road","Portobello West","Adopted","ROUNDABOUT AT SIR HARRY LAUDER ROAD AND KINGS ROADCarriageways and adjacent footways adopted for maintenance."
"Rowallan Court","North Gyle","Private","ROWALLAN COURTPRIVATE COURT: courtyard and internal footpaths. Fronts onto CRAIGIEVAR WYND.Not adopted for maintenance under the List of Public Roads."
"Rowantree Avenue","Curriehill","Adopted","ROWANTREE AVENUEFrom DOLPHIN GARDENS WEST westwards  -  a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Rowantree Grove","Curriehill","Adopted","ROWANTREE GROVEFrom ROWAN TREE AVENUE south-westwards - a cul-de-sac. Carriageways and adjacent footways adopted for maintenance."
"Roxburgh Place","Newington","Adopted","ROXBURGH PLACEFrom DRUMMOND STREET  southwards to WEST ADAM STREET centre-line.Carriageways and adjacent footways adopted for maintenance."
"Roxburgh Street","Newington","Adopted","ROXBURGH STREETFrom DRUMMOND STREET southwards to ADAM STREET.Carriageways and adjacent footways adopted for maintenance. The section of DRUMMOND STREET eastwards from ROXBURGH STREET is private."
"Roxburgh's Close","Old Town","Adopted","ROXBURGH'S CLOSEFrom the High Street at No. 341 northwards to the rear of the property at No. 329,  Connected to Warriston's Close to the east by Roxburgh's Court. Footway. Footways adopted for maintenance."
"Roxburgh's Court","Old Town","Adopted","ROXBURGH'S COURT"
"Royal Circus","Stockbridge","Adopted","ROYAL CIRCUSRound central enclosure in two divisions intersected by NORTH WEST AND SOUTH WEST CIRCUS PLACE.Carriageways and adjacent footways adopted for maintenance. ADJOINING PRIVATE STREET: JAMAICA STREET NORTH LANE has a private branch running northwards to the rear of No.s 1-3 Royal Circus - responsibility for maintainance may lie with adjoining owners."
"Royal Crescent","Broughton","Adopted","ROYAL CRESCENTFrom the line of the west side of SCOTLAND STREET curving southwards and westwards to FETTES ROW.Carriageways and adjacent footways adopted for maintenance."
"Royal Elizabeth Yard","Dalmeny","Private","ROYAL ELIZABETH YARDPRIVATE ROAD:From Milton Farm Road north-east, north-west and then south. With I branch south , 5 north and3 west.  Carpark at junction with Milton Farm Road is also private.Not included for maintenance in the List of Public Roads."
"Royal Mile","Old Town","Adopted","ROYAL MILEAlias name for road running from Edinburgh Castle to Holyrood Palace. Includes Canongate, High Street, Lawnmarket, Castlehill.Carriageways and adjacent footways adopted for maintenance. Excluding that part of the Royal Mile known as THE ESPLANADE which is PRIVATE."
"Royal Park Place","Abbeyhill","Adopted","ROYAL PARK PLACEIncluded  with CLOCKMILL LANE.Carriageways and adjacent footways adopted for maintenance."
"Royal Park Terrace","Abbeyhill","Adopted","ROYAL PARK TERRACEFrom CLOCKMILL LANE centre-line eastwards to angle of MEADOWBANK TERRACE.  Carriageways and adjacent footways adopted for maintenance."
"Royal Terrace","Broughton","Adopted","ROYAL TERRACEFrom centre-line CALTON HILL entrance, to CARLTON TERRACE (centre-line of dividing lane).  Carriageways and adjacent footways adopted for maintenance."
"Royal Terrace Mews","Broughton","Adopted","ROYAL TERRACE MEWSOff CARLTON TERRACE LANE south-westwards - a cul-de-sac. This refers to the north side of the street only.  Carriageways and adjacent footways adopted for maintenance."
"Royston Mains Avenue","Royston","Adopted","ROYSTON MAINS AVENUEFrom ROYSTON MAINS GARDENS westwards to  ROYSTON MAINS PLACE.Carriageways and adjacent footways adopted for maintenance."
"Royston Mains Close","Royston","Adopted","ROYSTON MAINS CLOSEFrom ROYSTON MAINS CRESCENT southwards - a cul-de-sac. Carriageways and adjacent footways adopted for maintenance."
