Image,Name,Address,Postcode,Telephone,Email,"Opening hours",Facilities,Background,"History and heritage",Wildlife,Geology,"Visitor information","Public Toilets","Book sports facilities","Organise an event","Getting involved","Other useful links","Green Flag","Management Plan","Why don't you?","Location map"
,"Paties Road Recreation Ground","Katesmill Road","EH14 1JF","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,Football,"Many visitors come to the park for the tennis and football facilities. The rest of the park is well used as a place to exercise or play or walk through woodland paths to the Water of Leith. ",,,,"On Lothian bus route 10 or 27.",,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.914307,-3.253892"
,"Pentland Hills Regional Park",,,"0131 529 2401",pentlandhills@edinburgh.gov.uk,,"Two visitor centres: Harlaw House Visitor Centre and Flotterstone Information Centre
Natural Heritage Service
Nine reservoirs
100km waymarked paths
Cycling
Horse riding
Fishing
Golf
Skiing
Food and drink","The Pentland Hills Regional Park is a living, working landscape, that offers great opportunities to experience, learn about and enjoy the outdoors. Sculpted by glaciers and water, then shaped by people over thousands of years, the Pentland Hills are a special place for everyone. With around 10,000 hectares of countryside and over 100 km of waymarked paths, the Regional Park is a great place for walking, cycling, horse riding, fishing and orienteering. The Regional Park offers both gentle and challenging routes, taking you to summits, through cleughs and glens as well as around reservoirs. Vistas from the higher tops give a panoramic view across the Firth of Forth, the Borders and to Ben Lomond. The Park has two visitor centres, Harlaw House Visitor Centre and Flotterstone Information Centre that provide information, advice and displays on what to do and see in the Regional Park. Located adjacent to Harlaw House Visitor Centre is Harlaw Wildlife Garden, a lovely sun trap ideal for picnics. It holds a Green Flag in recognition of it being a quality greenspace.","The Pentland Hills Regional Park was designated in 1986. Majority of the land is in private ownership, with the City of Edinburgh Council, Midlothian Council and West Lothian Council all having statutory duties to their constituent parts of the Park. The City of Edinburgh Council is the leading authority of the Regional Park, with the City of Edinburgh Council Natural Heritage Service providing the Park services.
The Regional Park has four aims that the three local authorities agreed to adhere to: 1.To retain the essential character of the hills as a place for the peaceful enjoyment of the countryside; 2. Caring for the hills so that the landscape and the habitat is protected and enhanced; 3. Within this caring framework to encourage responsible public enjoyment of the hills; 4. co-ordination of these aims so that they co-exist with farming and other land uses within the Pentland Hills Regional Park.
The Park is rich with heritage; from archaeological sites including 12 scheduled ancient monuments, such as, hill forts and cairns, to geological sites that are 430 million years old including three Geodiversity sites. The Pentlands are also steeped in history, with the Battle of Rullion green taking place in 1666 as well as being the hunting ground for Sir Robert the Bruce.","The Park contains a variety of important habitats: heather moorland, woodland, open grassland and reservoirs. This rich mosaic of wildlife, open spaces, farmed land and natural beauty is a result of people having been part of the landscape for thousands of years. Working closely with farmers, landowners and communities, the Pentland Hills Regional Park seeks to retain the essential character of the hills. For bird watchers the Park is abundant with both resident and migrating species. The Park has three enclosed bird hides where hours can be spent watching the wildfowl. The Natural Heritage Service offers the opportunity for the public to help survey some of the rarer species in the Regional Park. ",,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.pentlandfriends.plus.com/"">Friends of the Pentlands</a>","<a href=""http://www.pentlandhills.org"">Pentland Hills Regional Park website</a><a href=""http://www.eastsidecottages.co.uk/webcam/"">Pentland Hills Webcam</a>",Yes,,,"55.87333660876521,-3.3109188079833984"
,"Pentland View Park","Pentland View, Currie","EH14 5NP","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Play area
Teenage area
Playing fields","A large playing field site to the north side of King George V Park, Currie. There is a play area and teen zone, but the park is mainly used for football and by dog walkers.",,,,"On Lothian bus route 44.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.89480695323321,-3.3152103424072266"
,"Pikes Pool","Carmel Road, Kirkliston",,"0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Pond
Burn
Community woodland
Seating
Woodland walks","A delightful wooded area with glades and leafy paths. One of the paths leads to the pond after which the park is is named. A distillery tapped the pond for water as far back as the early 19th century. It is no longer in use today but the lade and sluices can still be seen.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.pikespool.co.uk/"">Friends of Pikes Pool</a>",,,,,"55.953620997357845,-3.4129714965820312"
,"Pilrig Park",,"EH29 9DD","0131 529 7061",citycentreteam@edinburgh.gov.uk,,"Play areas
Seating
Walks
Community woodlands
Allotments","This parkland setting provides space for locals to walk and play, and exercise their dogs. Pilrig Park has hard paths, two safe play areas at opposite ends, and also a football pitch. ","The park was once part of the grounds of Pilrig House, which was built in 1638. It came into city ownership in 1920.",,,"On Lothian bus routes 11, 25, 22.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.96817846858224,-3.181142807006836"
http://www.edinburgh.gov.uk/images/Portobello_Community_garden_dp_220x150.jpg,"Portobello Community Garden","John Street","EH15 2EB","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Gardens
Seating","With its distinctive 3 Coade Stone Pillars, attractive seashore inspired planting and quiet seating zone Portobello Community Garden provides an attractive green space along the Portobello seaside.  The park has been awarded a Green Flag since 2010, in recognition of it being a quality greenspace.","In the early 1900s the site was originally a bandstand. The area was later converted to a small semi-enclosed public park, with an open air paddling pool. However, as with so many great Victorian parks and public spaces, it was neglected over time and was in a semi derelict state when the local community came together to save it in 2006. The Portobello Amenity Society obtained a Heritage Lottery Grant to repair and erect three ""Coade Stone"" Pillars within the garden and carry out landscaping of the area to create the community garden you see today. 
The Coade Stone Pillars date from the early 19th century. They are listed structures which used to stand in the garden of Argyle House, Hope Lane. The pillars were restored by Graciela Ainsworth and her team of stone conservators. New crown tops for two of the pillars were skilfully made by local potter Alison Robinson. Pupils from Portobello High School also helped to make the modern Coade Stone decorations for the mound retaining wall.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,"Since 2010","<a href=""http://www.edinburgh.gov.uk/downloads/file/4866/portobello_community_garden_management_plan"">Portobello Community Garden Management Plan</a>",,"55.951627,-3.10432"
,"Portobello Park","Milton Road East","EH15 1JJ","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,Walks,"This park sits alongside Portobello Golf Course on the southside of Portobello.  It is an area of open parkland currently used informally by the local community for dog walking and other activities.

","The park was acquired by the city in 1898. In 1940 as part of the war effort the park was ploughed up for agricultural use and was returned to park use in 1953.

",,,,,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.94473008000075,-3.1125640869140625"
http://www.edinburgh.gov.uk/images/Prestonfield_Park_dp_220x150.jpg,"Prestonfield Park","Prestonfield Avenue","EH16 5EU","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Play area
Seating
5 a-side football pitch
Picnic benches","A small intimate park, popular with young children and their parents who enjoy the creative safe play area. The park is surrounded by a privet hedge, within the park there are picnic benches, a small kick-around area and a wildflower area. This was planted by pupils from Prestonfield Primary School. The park was awarded a Green Flag in 2012 is recoginition of being a quality greenspace.","The park was acquired from J K Dick-Cunnyngham in 1926.",,,"Lothian bus rotues 30, 14, 42.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,"Since 2012",,,"55.933386,-3.161042"
http://www.edinburgh.gov.uk/images/castle7_dp_220_x_150.jpg,"Princes Street Gardens","Princes Street","EH2 2HG","0131 529 7921",parks@edinburgh.gov.uk,"January - February: 7:00 - 17.00 (closing from 16.15)
March - April: 7:00 - 19:00 (closing from 18.15)
May - June: 7:00 - 20:00 (closing from 19.15)
July - August: 7:00 - 22:00 (closing from 21.15)
September - October: 7:00 - 19:00 (closing from 18.15)
November - December: 7:00 - 17:00 (closing from 16.15)","Play area
Cafe
Kiosks
Toilets
Seating","Princes Street Gardens lies at centre of Edinburgh's World Heritage Site, within New Town and Old Town Outstanding Conservation Areas. It is listed in the Inventory of Gardens and Designed Landscape in Scotland and has geological and botanical scientific interest. The Gardens are set in the valley between the old and new towns with Edinburgh Castle on its rock towering above the western end. The park has been awarded a Green Flag since 2011 and its central location make it a popular choice with residents and visitors.","There is a diverse and fascinating collection of public monuments and memorials in Princes Street Gardens dating mainly from the 1840s to 1990s. There are three types. The first commemorate influential Scottish men of the 18th and 19th centuries, including the Scott monument and the David Livingstone statue. The second group remember those who have died fighting in wars, including the Royal Scots Regimental Memorial and the Scots American War Memorial, and the third group include miscellaneous sculptures and monuments such as the Ross Fountain.","The world renowned Floral clock was first planted in 1903 and each year the planting scheme commemorates a special anniversary. The planting schemes are designed by the Technical team in the Parks and Greenspace Service. The colourful displays take 30,000 plants, and a variety of flower and foliage plants are used in the designs. All are of a dwarf nature, suitable for carpet bedding, including annuals such as Lobelia, Pyrethrum and Golden Moss and succulents such as Echeveria and Sedum.","Princes Street Gardens , between the Old and New towns, is in the very centre of Edinburgh 's World Heritage Site. It has a landscape of outstanding refinement and cultural significance, with high geological and some botanical scientific interest. It is one of the New Town Gardens listed in the Inventory of Gardens and Designed Landscape in Scotland , assessed as outstanding in terms of aesthetic, historical, architectural and scenic values. The Gardens lie within either the New Town or the Old Town Outstanding Conservation Areas, the boundary between the two areas being the north fence of the railway.","Please ensure that dogs are kept on leads at all times while visiting the gardens.","East Princes Street Gardens (The Mound). 24hr access. Disabled only. All toilets for the disabled require a RADAR key for access.

West Princes Street Gardens (The Mound). Opening times: 10am-10pm. Gents only. No disabled access.

West Princes Street Gardens (Ross Band Stand). Opening times:10am-8pm (Summer only). Disabled access. All toilets for the disabled require a RADAR key for access.

West Princes Street Gardens (West End). Opening times: 10am-10pm. Disabled access. All toilets for the disabled require a RADAR key for access.
",,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,"Since 2011","<a href=""http://www.edinburgh.gov.uk/downloads/file/4860/princes_street_gardens_management_plan"">Princes Street Gardens Management Plan</a>",,"55.95011293327504,-3.1990814208984375"
,"Ratho Park","Ratho Village","EH28 8PB","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Football pitch
Play area
Seating","Ratho Park is a grassy area with football pitch, play area and pavilion. Sycamores, silver birch, ash and rowan can be found along the perimeter. ",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.92296,-3.375123"
,"Ratho Station Park","Ratho Station","EH28 8PY","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Football pitches
Play area
Car parking","This park is used as a playing field, with two football pitches. It has a pavilion and safe play area. Oak, prunus, silver birch, lime and rowan are found in the park.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.937621,-3.389107"
,"Ratho Station Recreation Ground","Glasgow Road","EH28 8NZ","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,,"A large grassed area used for sports. It is also a great spot to watch aeroplanes taking off and landing at Edinburgh airport.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.93977911692385,-3.392200469970703"
,"Ravelston Park","Craigcrook Road","EH4 3PG","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Play area
Ball court
Playing fields
Picnic tables
Seating","Ravelston Park is a small neighbourhood park with a pavilion, play area and park benches. It has served the local community for almost a century. The park is also used for a football, a place to walk the dogs, take a stroll and relax. Adjoining Ravelston Park are Ravelston Woods.",,,,"On Lothian Bus no 41.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/info/542/volunteering-general_information/761/friends_of_parks"">Friends of Parks</a>",,,,,"55.95592749641833,-3.2553863525390625"
,"Ravelston Woods Local Nature Reserve","Craigcrook Road","EH4 3PG","0131 529 2401",naturalheritageservice@edinburgh.gov.uk,,"Natural Heritage Service
Guided walks
Interpretation panels","Ravelston Woods and Park is situated in Blackhall, North Edinburgh. In the park you will find a great play area for young children and a ball court for the older ones. The woods area is a Local Nature Reserve and locally renowned for its diversity of plants and animals. Ravelston Woods are particularly special because of the dazzling display of bluebells in the spring. It holds a Green Flag in recognition of it being a quality greenspace.",,"This park is a haven for wildlife; native trees include oak, ash and holly which are mixed with a number of planted exotics like horse chestnut and larch. The first record of this ancient woodland appears in 1826.  Enjoy a walk through the woods in the spring and discover the rich carpet of Scottish Bluebells which covers the woodland floor. Look out for typical woodland birds such as robin, blackbird and wren. Tree-creepers and woodpeckers can also be found sharing the wood with raptors such as tawny owls and buzzards.
Alongside foxes, mice, voles and shrews, Ravelston has a thriving population of badgers.","Most of Edinburgh sits on hard, volcanic rock, created when volcanoes cooled millions of years ago. Ravelston, however, is sedimentary sandstone which has been quarried to supply stone to build Edinburgh homes since the sixteenth century.  This stone was also used to build The Palace of Holyrood House and St Giles Cathedral. the quarry ceased production after WWII.","The park is most easily accessed from the eastern end of Craigcrook Road. The woods can be accessed from the south side of the park, or directly from Queensferry Road.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/info/542/volunteering-general_information/761/friends_of_parks"">Friends of Parks</a>",,"Since 2012",,"Visit the woods in May to see the best bluebell display in the city.","55.95410152932807,-3.253755569458008"
,"Redbraes Park","Redbraes Place","EH7 4LM","0131 529 7061",citycentreteam@edinburgh.gov.uk,,"Cycle track","This small park is much appreciated by local people as a quiet green place in a built-up area. Roses are one of the features of the park, along with a mixture of shrubs and trees. Cherry, ash, hazel, rowan, beech, laburnum can all be found around the parks edge. There is a central cycle track and a separate play area.",,,,"Lothian bus routes 36 and 11.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.96789025496281,-3.188009262084961"
,"Redford Wood","Redford Road","EH13 9QJ","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,,"A pleasant ancient woodland park that continues onto Covenanter Woods with fine Oak, Pine and Beech specimens, woodland walks. You may even be lucky to spot an otter in the adjacent Braidburn.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.905032,-3.238061"
,"Redhall Park",Kilncroftside,"EH14 2HG","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,,"Redhall Park is a neighbourhood park for the Slateford area. There is a football pitch, pavilion and fenced play area. Trees to spot include beech, hawthorn, oak, black poplar, sweet chestnut and Scots fir. ","The Slateford and Longstone war memorial is in the park, erected to local men who died in two world wars.","There is a wilderness area that creates a habitat for a number of small mammals, insects and foxes. Small garden birds and magpies are seen throughout the park.",,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.92179651179164,-3.2563304901123047"
,"Regent Road Park","Regent Road","EH8 8EJ","0131 529 7061",sfc.centralneighbourhood@edinburgh.gov.uk,,"Gardens
Seating
Views of Holyrood Park
Monument","Regent Road Park is a peaceful green place at the heart of old Edinburgh only a few minutes from Princes Street. From here, there are good views to Holyrood, Arthur's Seat and the Salisbury Crags.","Within the park is the Stones of Scotland sculpture, which is a circle of 32 stone slabs, one from each of Scotland's local authorities. It was unveiled in 2002 to commemorate the Scottish parliament.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.95482231609982,-3.1743621826171875"
,"River Almond Walkway","Cramond Glebe","EH4 6JN","0131 529 2401",naturalheritageservice@edinburgh.gov.uk,,"Natural Heritage Service
Guided walks
Seating
River walks
Wildlife habitats (River, woodland)","This nature trail passes along a clifftop through a mixture of woodlands, marsh, ponds and meadowland, which support a large diversity of wildlife habitats.","By the end of the 18th century, the River Almond was industrial with Cockle Mill, Fairafar Mill, Peggy's Mill, Dowie's Mill and Craigie Mill along the banks.
Cramond Brig, where the original 15th century bridge stood, is on the route.","It is rich in birdlife with mallards, moorhens, white-chested dippers and the Cramond swans. There is a wealth of plants and trees with meadow cranesbill, sweet cicely, creeping ivy, ivy-leafed toadflax, butterbur, yellow tansy, oak, beech, sycamore, ash, elm, elder and fungi like lawyer's wig.",,,"Cramond Glebe Road
Opening times: 10am-6pm.
Baby changing facilities available.
No disabled access.
",,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.friendsoftheriveralmondwalkway.org.uk/"">Friends of the River Almond Walkway</a>",,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/3774/river_almond_walkway_management_plan"">River Almond Walkway Management Plan</a>",,"55.9774481948768,-3.302164077758789"
,"Riverside Park","Riverside, Newbridge","EH28 8SU","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,,"This park lies to the rear of Riverside, Newbridge, and east of the River Almond.
A popular local children's play park and kick about area, located at the edge of the village with open fields to the west.
Riverside Park provides an attractive green open space in its countryside setting.
 ",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.938249,-3.411302"
,"Rocheid Path","Arboretum Avenue","EH3 5NU","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Water of Leith walkway
Wildlife
Woodland","This attractive little path is an unexpected and delightful woodland glade full of the sound of birds and the murmurings of the Water of Leith.","The path is named after the colourful Rochheid family who once owned the property as part of their estate. It was originally given to the old Edinburgh Corporation free of charge by the governors of Fettes Trust to form an access from Bell Place to Arboretum Avenue to be permanently maintained as a garden or shrubbery ground.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.96241378828613,-3.2076644897460938"
,"Roseburn Park","Riversdale Crescent","EH12 5PH","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Football
Cricket","Roseburn Park is in the shadow of the Murrayfield Rugby stadium. One of its attractive features is the Water of Leith which runs along its north edge. There is a childrens play area and football and cricket are both played on the park.","Roseburn came into the ownership of the old Edinburgh Corporation in two parts: the first acquisition of 10.33 acres, part of the lands of Roseburn, was in 1898 from Edward Balfour, Esq., of Balbirnie and others, on the basis that it would be used for all time as a public park. The later purchase of 5.86 acres was from part of the estate of Damhead from Sir Archibald Campbell of Succoth in 1906. During World War Two, air raid shelters were located in the park and part of it was allocated to allotments.",,,"On Lothian bus route 31.",,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.friendsofroseburnpark.org.uk/"">Friends of Roseburn Park</a>",,,,,"55.94458588614092,-3.240194320678711"
,"Rosefield Park","Rosefield Place","EH15 1BD","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Play area
Seating
Walks
River
Pictorial meadow
Multi Use Games Area
Petanque Court","Rosefield Park is a delightful park on a bend of the Figgate Burn. It is a popular sitting-out park, a corner of tranquillity in contrast to the busy Sir Harry Lauder Road. There is also a well-loved childrens play area, petanque court and multi use games area.","Rosefield Park is part of the grounds that once belonged to the aristocratic 18th-century mansion of Rosefield House, once the home of William Jameson, the 'Father of Portobello'. It was acquired for the Council from the trustees of the estate of J. Patterson in 1920.",,,"On Lothian bus route 26.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.95203519953707,-3.1202030181884765"
http://www.edinburgh.gov.uk/images/Saughton_Park_dp_220x150.jpg,"Saughton Park and Gardens","Balgreen Road","EH11 3BQ","0131 529 7921",parks@edinburgh.gov.uk,,"Rose gardens
Floral displays
Walled garden
Glasshouses
Skateboard and bmx park
Play area
Toilets
Car park
Football
Play fields
Community woodlands","Saughton Park is one of Edinburgh's hidden jewels. Not only does have a large tract of well-managed open space with playing fields and athletic track, the biggest skate board park in Scotland and a modern creative play area, but over seven acres it also has a delightful formal garden in classic style, with walls and neatly-clipped yew hedges, flower and heather beds, a sunken Italian garden, specimen trees, a glass Winter Garden with exotic plants, a garden of sweet fragrances for the blind and a rose garden that has won Saughton fame.","Saughton park has had an interesting and varied past. The majority of the area came into Council ownership in 1900 when it was purchased from Sir William Baird Tuke. At that time a nine-hole golf course, nursery and playing fields were laid out. The area enclosed by the old garden wall was designed to include a rose garden. In 1908 Saughton became the site of the great Scottish National Exhibition, opened by HRH Prince Arthur of Connaught . During the Second World War the formal gardens were turned into onion beds as Saughton helped dig for victory. The Saughtonhall mansion house, which had earlier been turned into an asylum for the mentally ill, was destroyed in a controlled burning by the fire bigrade has it had become riddled with dry rot. In 1984 the Winter Garden was opened by Lord Provost John McKay. Most recently an award winning skateboard park was constructed in 2010 and a brand new play area was opened in 2012.",,,"Serviced by Lothian bus route 22.",,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.935164057216745,-3.248262405395508"
,"Seafield Recreation Ground","Craigentinny Avenue","EH7 6RD","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Football
Community woodland","A large recreation ground, which neighbours Craigentinny Golf Course, is dedicated to football. Around the edge of the park there are compartments of community woodland planted as part of the Edinburgh Urban Forest Project in 2000.",,,,,,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.96572858438624,-3.1377124786376953"
http://www.edinburgh.gov.uk/images/Seven_Acre_Park_dp_220x150.jpg,"Seven Acre Park","Stanedykehead, Alnwickhill","EH16 6TN","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Play area
Grass kick pitch
Seven aside goals
Community woodland
City views","Seven Acre Park, as the name suggests, is 7 acres in size and consists of two main sections - one accessed via Stanydykehead and the other via Netherbank View. The park is sited on former farmland and was adopted by Edinburgh Council around 1999. The park has exceptional views over to Fife and many of  Edinburgh landmarks including Edinburgh Castle, Arthur’s Seat, Blackford Observatory and, on a good day, the Bass Rock can be seen in the distance. It is a wonderful place to sit in the summer months or just to relax and take in the countryside feel the park provides in the middle of Edinburgh. The play area, which includes basketball nets, is very popular with local children and their parents. The park also has picnic tables, football goals and seats dotted about to take in the scenery.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/info/542/volunteering-general_information/761/friends_of_parks"">Friends of Parks</a>",,,,,"55.907414040276315,-3.175821304321289"
,"Sighthill Park","Broomhouse Road","EH11 3UP","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Skateboard and bmx park
Play area
Football
Community woodland","This large park has flat expanses of grass which are dedicated to football. The park is bounded by community woodlands planted at the start of the new Millennium. There is a well used play area and skateboard facilities.",,,,"On Lothian bus route 22.",,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.926845946778435,-3.2866287231445312"
,"Silverknowes Park","Silverknowes Parkway","EH4 5ET","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Community woodland
Football","This small rectangular park overlooks Silverknowes Golf Course and has spectacular panorama of the Firth of Forth. The park is home to football, but also used by dog walkers.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.973942290150596,-3.266286849975586"
,"Sir Harry Lauder Garden",,,"0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,,"The garden was opened in 2001, in the grounds of Portobello Townhall, as a memorial to the Sir Harry Lauder.","Sir Harry Lauder wasan entertainer born in Portobello on 4th August 1870. He achieved worldwide fame with his portrayal of a mean, canny, daft scot. He died in 1950.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.952876161016476,-3.1151175498962402"
,"Spylaw Park","Bridge Road","EH13 0JX","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Play area
Water of Leith
River walks
Woodlands
Floral displays","Spylaw Park is an attractive park on the banks of the Water of Leith. Trees are its most attractive feature. They are many and varied, forming sharp contrasts of colour, shape, form and height: tall specimen conifers, varieties of holly, towering beeches, yew, as hornbeam and even a monkey puzzle create a sense of enclosed peace.","Spylaw Park was acquired by the Midlothian County Council in 1911 for use as a public park. Spylaw House dates back to the middle of the 17th century. It once had a snuff mill below and behind it, both owned by James Gillespie.",,,"On Lothian bus route 44.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.90683670597479,-3.2610511779785156"
,"St Katherines Park","Liberton Gardens","EH16 6ND","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Football goals
Picnic tables
Seating
Spring bulb display
Wildflower area","Prior to 2006, the park only consisted of the burn, some trees and the grass area. Following community consultation, work began to improve the park in August 2006. A new asphalt footpath replaced the old whindust path and new street lighting was installed. Since then over 250,000 natural bulbs have been planted along with new rose and shrub beds created and the planting of over 30 new trees. To aid the amenity of the park new benches, picnic tables and bins have been installed.",,,,"On bus routes 7, 37, 47 & 67. Disabled access",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/info/542/volunteering-general_information/761/friends_of_parks"">Friends of Parks</a>",,,,,"55.90664425929769,-3.1633758544921875"
,"St Margarets Park","Corstorphine High Street","EH12 7SZ","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Play area
Pitch and putt
Bowling green
Tennis courts
Football pitches","A large attractive park found in Corstorphine Village. There are a range of things to do there including tennis and a brand new play area which was re-opened in 2013. The park has been awarded a Green Flag since 2011, in recognition of it being a quality greenspace. The four tennis courts at St. Margaret's Park have an acrylic playing surface and are available for public use throughout the summer. Individuals are welcome to pay and play on a casual basis. At times when the courts are open but not staffed, customers are welcome to play free of charge, subject to availability. For further information about playing tennis at St Margaret's Park please contact Edinburgh Leisure.",,,,"On Lothian bus route 26.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/info/542/volunteering-general_information/761/friends_of_parks"">Friends of Parks</a>","<a href=""http://www.edinburghleisure.co.uk/detail-318"">Edinburgh Leisure</a>","Since 2011",,,"55.939250335889696,-3.285512924194336"
